feature,score
"['TOTALSA', 'GACDFSA066MSFRBPHI', 'LRUNTTTTKRM156S']",-1.5262715
"['TOTALSA', 'UMCSENT', 'GACDFSA066MSFRBPHI']",-1.527686701
"['BAA', 'TWEXBMTH', '정책금리']",-1.527725522
"['TCU', 'TOTALSA', 'KORPROINDMISMEI']",-1.527817065
"['TOTALSA', 'XTIMVA01KRM667S', 'KORPROINDMISMEI']",-1.528032748
"['BAA', 'UMCSENT', '자가주거비']",-1.528052726
"['BAA', 'GACDFSA066MSFRBPHI', '한국실업률']",-1.528127013
"['자가주거비', 'EXKOUS', 'KORCPIALLMINMEI']",-1.528919653
"['EXKOUS', '정책금리', '통화량']",-1.529210722
"['자가주거비포함지수', 'EXKOUS', 'KORCPIALLMINMEI']",-1.529387444
"['상품수지', 'BAA', '수출물가지수']",-1.529455004
"['BAA', 'DGORDER', 'LRUNTTTTKRM156S']",-1.530499558
"['ISM_PMI_Actual', 'PCE', 'EXKOUS']",-1.530654413
"['상품수지', 'BAA', 'TOTALSA']",-1.530942407
"['BAA', '자가주거비', '환율평균']",-1.532433687
"['자가주거비', 'EXKOUS', '통화량']",-1.532440598
"['UNRATE', 'EXKOUS', '환율평균']",-1.532460786
"['BAA', 'UNRATE', 'KORPROINDMISMEI']",-1.533243894
"['ISM_PMI_Actual', 'NEWORDER', 'TOTALSA']",-1.533444716
"['BAA', 'TOTALSA', '한국실업률']",-1.533696088
"['BAA', '자가주거비', 'LRUNTTTTKRM156S']",-1.533741718
"['TOTALSA', 'EXKOUS', '정책금리']",-1.533986493
"['BAA', 'TWEXBMTH', 'KORPROINDMISMEI']",-1.534128449
"['T10Y2YM', 'TWEXBMTH', '환율평균']",-1.534653558
"['ISM_PMI_Actual', 'TOTALSA', '수출물가지수']",-1.53557425
"['T10Y2YM', 'PCE', 'EXKOUS']",-1.5365287
"['상품수지', 'TWEXBMTH', 'EXKOUS']",-1.536626505
