,bias,미국 내구재 주문,미국 생산 자원사용률,미국 신규 실업수당 청구건수,"미국 항공기 제외, 비국방 자본재 주문",중국 차이신 PMI Actual
2552,1,196177.0,74.8673,4176000.0,60426.0,54.8
2551,1,196177.0,74.8673,4176000.0,60426.0,54.8
2550,1,196177.0,74.8673,4176000.0,60426.0,54.8
5599,1,196177.0,74.8673,4218000.0,60426.0,54.8
2549,1,196177.0,74.8673,4218000.0,60426.0,54.8
2548,1,196177.0,74.8673,4218000.0,60426.0,54.8
2547,1,196177.0,74.8673,4218000.0,60426.0,54.8
2546,1,196177.0,74.8673,4218000.0,60426.0,54.8
2545,1,196177.0,74.8673,4218000.0,60426.0,54.8
5600,1,196177.0,74.8673,4118000.0,60426.0,54.8
2544,1,196177.0,74.8673,4118000.0,60426.0,54.8
2543,1,196177.0,74.8673,4118000.0,60426.0,54.8
379,1,194518.0,75.64399999999999,4118000.0,61858.0,55.3
2542,1,194518.0,75.64399999999999,4118000.0,61858.0,55.3
2541,1,194518.0,75.64399999999999,4118000.0,61858.0,55.3
5601,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
2540,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
2539,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
2538,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
2537,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
2536,1,194518.0,75.64399999999999,4137000.0,61858.0,55.3
5602,1,194518.0,75.64399999999999,4062000.0,61858.0,55.3
2535,1,194518.0,75.64399999999999,4062000.0,61858.0,55.3
2534,1,194518.0,75.64399999999999,4062000.0,61858.0,55.3
2533,1,194518.0,75.64399999999999,4062000.0,61858.0,55.3
