DATE,무역 가중치 미국 달러 인덱스
2017-11-07,117.8242
2017-11-08,117.5327
2017-11-09,117.6344
2017-11-10,0
2017-11-13,117.9215
2017-11-14,117.8427
2017-11-15,117.824
2017-11-16,117.4565
2017-11-17,117.0618
2017-11-20,117.27
2017-11-21,116.7872
2017-11-22,116.4206
2017-11-23,0
2017-11-24,116.0062
2017-11-27,116.0488
2017-11-28,116.0468
2017-11-29,115.9943
2017-11-30,116.3288
2017-12-01,116.2646
2017-12-04,116.3551
2017-12-05,116.4577
2017-12-06,116.8336
2017-12-07,116.9972
2017-12-08,117.0551
2017-12-11,117.012
2017-12-12,117.4612
2017-12-13,117.2597
2017-12-14,117.1687
2017-12-15,117.1035
2017-12-18,116.8899
2017-12-19,117.1699
2017-12-20,116.9394
2017-12-21,117.2506
2017-12-22,117.5376
2017-12-25,0
2017-12-26,117.5548
2017-12-27,117.5963
2017-12-28,117.3907
2017-12-29,117.0403
2018-01-01,0
2018-01-02,116.4137
2018-01-03,116.2453
2018-01-04,115.9617
2018-01-05,115.8895
2018-01-08,116.029
2018-01-09,116.4186
2018-01-10,116.0911
2018-01-11,116.0689
2018-01-12,115.3924
2018-01-15,0
2018-01-16,115.0633
2018-01-17,114.6661
2018-01-18,114.5909
2018-01-19,114.3054
2018-01-22,114.5859
2018-01-23,114.6639
2018-01-24,113.8954
2018-01-25,113.3255
2018-01-26,113.4557
2018-01-29,113.8006
2018-01-30,114.0195
2018-01-31,113.5883
2018-02-01,113.257
2018-02-02,113.8742
2018-02-05,113.9255
2018-02-06,114.0904
2018-02-07,113.9599
2018-02-08,114.9751
2018-02-09,114.8192
2018-02-12,114.4815
2018-02-13,114.5348
2018-02-14,114.2889
2018-02-15,113.9462
2018-02-16,113.8992
2018-02-19,0
2018-02-20,114.3048
2018-02-21,114.4025
2018-02-22,114.4822
2018-02-23,114.164
2018-02-26,114.1121
2018-02-27,114.5438
2018-02-28,114.7417
2018-03-01,114.876
2018-03-02,0
2018-03-05,114.8328
2018-03-06,114.2233
2018-03-07,114.5076
2018-03-08,114.5972
2018-03-09,114.1774
2018-03-12,114.2277
2018-03-13,113.9774
2018-03-14,114.0723
2018-03-15,114.3555
2018-03-16,114.4994
2018-03-19,114.5803
2018-03-20,114.6358
2018-03-21,0
2018-03-22,114.3474
2018-03-23,114.2934
2018-03-26,113.4834
2018-03-27,113.5745
2018-03-28,113.5718
2018-03-29,113.4502
2018-03-30,113.1999
2018-04-02,113.4835
2018-04-03,113.3387
2018-04-04,113.595
2018-04-05,113.4046
2018-04-06,113.8736
2018-04-09,113.7256
2018-04-10,113.6762
2018-04-11,113.491
2018-04-12,113.5487
