,DATE,미국 내구재 주문,미국 비농업 고용자수,미국 비농업 급여,미국 소비율,미국 소비자 물가 상승률,미국 신규 실업수당 청구건수,미국 신규주택착공,미국 신규주택판매 지수,미국 실업률,"미국 항공기 제외, 비국방 자본재 주문",컨퍼런스보드 소비자 심리지수,Close
282,2015-08-01,225666.0,142138.0,142138,12394.0,238.028,2253600.0,1132.0,521.0,5.1,63465.0,101.5,1954.0209550000002
283,2015-09-01,220050.0,142271.0,142271,12392.8,237.50599999999997,2239000.0,1215.0,458.0,5.0,63285.0,103.0,1939.582501
284,2015-10-01,226171.0,142610.0,142610,12416.1,237.78099999999998,2206200.0,1062.0,481.0,5.0,63011.0,97.6,2020.5671559999998
285,2015-11-01,224077.0,142845.0,142845,12450.1,238.016,4965000.0,1169.0,505.0,5.1,62254.0,188.0,4027.3480979999995
286,2015-12-01,221066.0,143125.0,143125,12469.1,237.817,7171250.0,1157.0,545.0,5.0,59922.0,284.5,5998.876674
287,2016-01-01,226398.0,143215.0,143215,12482.2,237.833,7945200.0,1114.0,514.0,4.9,61849.0,382.6,8193.471509
288,2016-02-01,217882.0,143447.0,143447,12550.1,237.46900000000002,2196750.0,1208.0,518.0,4.9,60788.0,92.2,1900.6099989999998
289,2016-03-01,216926.0,143681.0,143681,12547.2,238.03799999999998,2174500.0,1115.0,526.0,5.0,60517.0,96.2,1976.502736
290,2016-04-01,225797.0,143892.0,143892,12646.1,238.827,2151600.0,1160.0,564.0,5.0,60503.0,94.2,1996.1704960000002
291,2016-05-01,220851.0,143907.0,143907,12698.4,239.46400000000003,2173750.0,1131.0,556.0,4.8,59218.0,92.6,1966.6755190000001
292,2016-06-01,208990.0,144189.0,144189,12775.1,240.167,2158000.0,1191.0,563.0,4.9,59724.0,98.0,1977.029512
293,2016-07-01,216738.0,144525.0,144525,12790.1,240.15,2140800.0,1232.0,631.0,4.8,60456.0,97.3,2002.482846
294,2016-08-01,220654.0,144660.0,144660,12841.8,240.602,2145750.0,1159.0,586.0,4.9,61821.0,101.1,2036.656366
295,2016-09-01,219736.0,144930.0,144930,12903.5,241.051,2107750.0,1063.0,569.0,5.0,60102.0,104.1,2042.555266
296,2016-10-01,231303.0,145058.0,145058,12944.5,241.69099999999997,2071800.0,1325.0,580.0,4.9,60055.0,98.6,2036.0325129999999
297,2016-11-01,219574.0,145228.0,145228,12980.5,242.02900000000002,4634250.0,1150.0,571.0,4.7,60578.0,205.7,3832.685014
298,2016-12-01,224108.0,145443.0,145443,13043.2,242.77200000000002,5768000.0,1287.0,560.0,4.7,60470.0,319.4,6036.860479
299,2017-01-01,223049.0,145695.0,145695,13098.6,243.78,9248750.0,1221.0,591.0,4.7,62355.0,431.2,8400.452014
300,2017-02-01,222023.0,145836.0,145836,13084.3,243.96099999999998,2029250.0,1292.0,603.0,4.7,62687.0,114.8,2082.7949949999997
