feature,precision
"['Volume', 'DGORDER', 'TWEXBMTH']",0.125
"['Volume', 'DGORDER', 'UNRATENSA']",0
"['Volume', 'DGORDER', 'TCU']",0.235294118
"['Volume', 'DGORDER', 'INDPRO']",0.1875
"['Volume', 'DGORDER', 'PPIACO']",0.3
"['Volume', 'DGORDER', 'RMFSL']",0.25
"['Volume', 'DGORDER', 'CPIAUCSL']",0.212121212
"['Volume', 'DGORDER', 'HOUST']",0.055555556
"['Volume', 'DGORDER', 'HSN1F']",0.166666667
"['Volume', 'DGORDER', 'FEDFUNDS']",0.192307692
"['Volume', 'DGORDER', 'USSLIND']",0.2
"['Volume', 'DGORDER', 'TOTALSA']",0
"['Volume', 'DGORDER', 'UMCSENT']",0.133333333
"['Volume', 'DGORDER', '서울아파트매매가격지수']",0.205882353
"['Volume', 'DGORDER', 'AMBNS']",0.208333333
"['Volume', 'DGORDER', '자가주거비포함지수']",0.133333333
"['Volume', 'DGORDER', '자가주거비']",0.176470588
"['Volume', 'DGORDER', '수출물가지수']",0.222222222
"['Volume', 'DGORDER', 'EXJPUS']",0.173913043
"['Volume', 'DGORDER', 'EXKOUS']",0.260869565
"['Volume', 'DGORDER', 'EXCHUS']",0.16
"['Volume', 'DGORDER', 'XTEXVA01CNM667S']",0.2
"['Volume', 'DGORDER', '정책금리']",0.222222222
"['Volume', 'DGORDER', '통화량']",0.176470588
"['Volume', 'DGORDER', 'GACDFSA066MSFRBPHI']",0.272727273
"['Volume', 'DGORDER', 'XTIMVA01KRM667S']",0.25
"['Volume', 'DGORDER', 'KORPROINDMISMEI']",0.217391304
"['Volume', 'DGORDER', 'KORCPIALLMINMEI']",0.133333333
"['Volume', 'DGORDER', 'LRUNTTTTKRM156S']",0.25
"['Volume', 'DGORDER', '한국실업률']",0.285714286
"['Volume', 'DGORDER', 'IR3TCD01KRM156N']",0.178571429
"['Volume', 'DGORDER', '환율평균']",0.19047619
"['Volume', 'TWEXBMTH', 'UNRATENSA']",0.19047619
"['Volume', 'TWEXBMTH', 'TCU']",0.066666667
"['Volume', 'TWEXBMTH', 'INDPRO']",0.083333333
"['Volume', 'TWEXBMTH', 'PPIACO']",0.166666667
"['Volume', 'TWEXBMTH', 'RMFSL']",0.142857143
"['Volume', 'TWEXBMTH', 'CPIAUCSL']",0.194444444
"['Volume', 'TWEXBMTH', 'HOUST']",0.2
"['Volume', 'TWEXBMTH', 'HSN1F']",0.125
"['Volume', 'TWEXBMTH', 'FEDFUNDS']",0.25
"['Volume', 'TWEXBMTH', 'USSLIND']",0.2
"['Volume', 'TWEXBMTH', 'TOTALSA']",0.117647059
"['Volume', 'TWEXBMTH', 'UMCSENT']",0.263157895
"['Volume', 'TWEXBMTH', '서울아파트매매가격지수']",0.238095238
"['Volume', 'TWEXBMTH', 'AMBNS']",0.2
"['Volume', 'TWEXBMTH', '자가주거비포함지수']",0.153846154
"['Volume', 'TWEXBMTH', '자가주거비']",0.16
"['Volume', 'TWEXBMTH', '수출물가지수']",0.083333333
"['Volume', 'TWEXBMTH', 'EXJPUS']",0.125
"['Volume', 'TWEXBMTH', 'EXKOUS']",0.125
"['Volume', 'TWEXBMTH', 'EXCHUS']",0.151515152
