DATE,Open,High,Low,Close,Adj Close,Volume,HM4UP,LM4D
1995-10-01,1041.390015,1050.650024,959.359985,1036.060059,1036.060059,9660490000,0,1
1995-11-01,1037.300049,1068.810059,1016.580017,1059.199951,1059.199951,9544310000,0,0
1995-12-01,1060.660034,1074.849976,1001.530029,1052.130005,1052.130005,9972500000,0,1
1996-01-01,1052.829956,1059.810059,977.789978,1059.790039,1059.790039,11326210000,0,1
1996-02-01,1058.26001,1121.890015,1057.819946,1100.050049,1100.050049,10690430000,1,0
1996-03-01,1098.939941,1119.839966,1057.869995,1101.400024,1101.400024,10648850000,0,0
1996-04-01,1105.77002,1190.869995,1092.439941,1190.52002,1190.52002,11951730000,1,0
1996-05-01,1190.47998,1252.810059,1163.209961,1243.430054,1243.430054,14550600000,1,0
1996-06-01,1242.540039,1254.119995,1147.75,1185.02002,1185.02002,11479100000,0,1
1996-07-01,1185.640015,1198.040039,1008.440002,1080.589966,1080.589966,11807920000,0,1
1996-08-01,1081.339966,1153.900024,1080.410034,1141.5,1141.5,9696450000,1,0
1996-09-01,1133.300049,1237.26001,1123.140015,1226.920044,1226.920044,10646990000,1,0
1996-10-01,1223.72998,1269.619995,1202.359985,1221.51001,1221.51001,12543840000,0,0
1996-11-01,1223.719971,1293.75,1218.22998,1292.609985,1292.609985,10973580000,1,0
1996-12-01,1294.780029,1328.949951,1251.030029,1291.030029,1291.030029,11852910000,0,0
1997-01-01,1292.650024,1400.530029,1272.339966,1379.849976,1379.849976,14074400000,1,0
1997-02-01,1383.969971,1384.51001,1296.880005,1309,1309,12037800000,0,1
1997-03-01,1306.209961,1332.339966,1220.400024,1221.699951,1221.699951,11834210000,0,1
1997-04-01,1211.280029,1267.410034,1194.160034,1260.76001,1260.76001,12452400000,1,0
1997-05-01,1263.930054,1414.26001,1260.939941,1400.319946,1400.319946,12905590000,1,0
1997-06-01,1407.069946,1467.290039,1375.449951,1442.069946,1442.069946,12580930000,1,0
1997-07-01,1442.650024,1595.76001,1432.420044,1593.810059,1593.810059,14331570000,1,0
1997-08-01,1594.670044,1638.26001,1545.130005,1587.319946,1587.319946,13420440000,0,0
1997-09-01,1595.069946,1702.48999,1595.069946,1685.689941,1685.689941,14680150000,1,0
1997-10-01,1690.790039,1748.780029,1465.839966,1593.609985,1593.609985,18850990000,0,1
1997-11-01,1609.619995,1654.430054,1508.410034,1600.550049,1600.550049,11687640000,0,1
1997-12-01,1608.560059,1652.839966,1486.51001,1570.349976,1570.349976,14926610000,0,1
1998-01-01,1574.099976,1629.540039,1465.609985,1619.359985,1619.359985,13738080000,0,1
